variant,path,doc_id,page,family,window,width,height,pixels,bytes,source_pdf
dpi150,data/perturbed/dpi150/a_share_annual_old_002310_2026-04-30_p20.png,a_share_annual_old_002310_2026-04-30,20,a_share_annual,old,1240,1754,2174960,287676,data/corpus/a_share_annual/a_share_annual_old_002310_2026-04-30.pdf
dpi100,data/perturbed/dpi100/a_share_annual_old_002310_2026-04-30_p20.png,a_share_annual_old_002310_2026-04-30,20,a_share_annual,old,827,1170,967590,171126,data/corpus/a_share_annual/a_share_annual_old_002310_2026-04-30.pdf
jpeg30,data/perturbed/jpeg30/a_share_annual_old_002310_2026-04-30_p20.jpg,a_share_annual_old_002310_2026-04-30,20,a_share_annual,old,2480,3508,8699840,395288,data/corpus/a_share_annual/a_share_annual_old_002310_2026-04-30.pdf
rot2,data/perturbed/rot2/a_share_annual_old_002310_2026-04-30_p20.png,a_share_annual_old_002310_2026-04-30,20,a_share_annual,old,2480,3508,8699840,1241329,data/corpus/a_share_annual/a_share_annual_old_002310_2026-04-30.pdf
photocopy,data/perturbed/photocopy/a_share_annual_old_002310_2026-04-30_p20.png,a_share_annual_old_002310_2026-04-30,20,a_share_annual,old,1240,1754,2174960,3989580,data/corpus/a_share_annual/a_share_annual_old_002310_2026-04-30.pdf
dpi150,data/perturbed/dpi150/a_share_annual_old_002898_2026-04-30_p22.png,a_share_annual_old_002898_2026-04-30,22,a_share_annual,old,1241,1755,2177955,275443,data/corpus/a_share_annual/a_share_annual_old_002898_2026-04-30.pdf
dpi100,data/perturbed/dpi100/a_share_annual_old_002898_2026-04-30_p22.png,a_share_annual_old_002898_2026-04-30,22,a_share_annual,old,827,1170,967590,162551,data/corpus/a_share_annual/a_share_annual_old_002898_2026-04-30.pdf
jpeg30,data/perturbed/jpeg30/a_share_annual_old_002898_2026-04-30_p22.jpg,a_share_annual_old_002898_2026-04-30,22,a_share_annual,old,2481,3509,8705829,394397,data/corpus/a_share_annual/a_share_annual_old_002898_2026-04-30.pdf
rot2,data/perturbed/rot2/a_share_annual_old_002898_2026-04-30_p22.png,a_share_annual_old_002898_2026-04-30,22,a_share_annual,old,2481,3509,8705829,1203000,data/corpus/a_share_annual/a_share_annual_old_002898_2026-04-30.pdf
photocopy,data/perturbed/photocopy/a_share_annual_old_002898_2026-04-30_p22.png,a_share_annual_old_002898_2026-04-30,22,a_share_annual,old,1241,1755,2177955,4002347,data/corpus/a_share_annual/a_share_annual_old_002898_2026-04-30.pdf
dpi150,data/perturbed/dpi150/a_share_annual_older_300208_2025-04-30_p17.png,a_share_annual_older_300208_2025-04-30,17,a_share_annual,older,1241,1755,2177955,404335,data/corpus/a_share_annual/a_share_annual_older_300208_2025-04-30.pdf
dpi100,data/perturbed/dpi100/a_share_annual_older_300208_2025-04-30_p17.png,a_share_annual_older_300208_2025-04-30,17,a_share_annual,older,827,1170,967590,230319,data/corpus/a_share_annual/a_share_annual_older_300208_2025-04-30.pdf
jpeg30,data/perturbed/jpeg30/a_share_annual_older_300208_2025-04-30_p17.jpg,a_share_annual_older_300208_2025-04-30,17,a_share_annual,older,2481,3509,8705829,558707,data/corpus/a_share_annual/a_share_annual_older_300208_2025-04-30.pdf
rot2,data/perturbed/rot2/a_share_annual_older_300208_2025-04-30_p17.png,a_share_annual_older_300208_2025-04-30,17,a_share_annual,older,2481,3509,8705829,1861504,data/corpus/a_share_annual/a_share_annual_older_300208_2025-04-30.pdf
photocopy,data/perturbed/photocopy/a_share_annual_older_300208_2025-04-30_p17.png,a_share_annual_older_300208_2025-04-30,17,a_share_annual,older,1241,1755,2177955,4144103,data/corpus/a_share_annual/a_share_annual_older_300208_2025-04-30.pdf
dpi150,data/perturbed/dpi150/a_share_annual_older_300208_2025-04-30_p87.png,a_share_annual_older_300208_2025-04-30,87,a_share_annual,older,1241,1755,2177955,218725,data/corpus/a_share_annual/a_share_annual_older_300208_2025-04-30.pdf
dpi100,data/perturbed/dpi100/a_share_annual_older_300208_2025-04-30_p87.png,a_share_annual_older_300208_2025-04-30,87,a_share_annual,older,827,1170,967590,127950,data/corpus/a_share_annual/a_share_annual_older_300208_2025-04-30.pdf
jpeg30,data/perturbed/jpeg30/a_share_annual_older_300208_2025-04-30_p87.jpg,a_share_annual_older_300208_2025-04-30,87,a_share_annual,older,2481,3509,8705829,405649,data/corpus/a_share_annual/a_share_annual_older_300208_2025-04-30.pdf
rot2,data/perturbed/rot2/a_share_annual_older_300208_2025-04-30_p87.png,a_share_annual_older_300208_2025-04-30,87,a_share_annual,older,2481,3509,8705829,1124998,data/corpus/a_share_annual/a_share_annual_older_300208_2025-04-30.pdf
photocopy,data/perturbed/photocopy/a_share_annual_older_300208_2025-04-30_p87.png,a_share_annual_older_300208_2025-04-30,87,a_share_annual,older,1241,1755,2177955,4004865,data/corpus/a_share_annual/a_share_annual_older_300208_2025-04-30.pdf
dpi150,data/perturbed/dpi150/a_share_annual_older_688152_2025-04-29_p160.png,a_share_annual_older_688152_2025-04-29,160,a_share_annual,older,1241,1754,2176714,306442,data/corpus/a_share_annual/a_share_annual_older_688152_2025-04-29.pdf
dpi100,data/perturbed/dpi100/a_share_annual_older_688152_2025-04-29_p160.png,a_share_annual_older_688152_2025-04-29,160,a_share_annual,older,827,1170,967590,182177,data/corpus/a_share_annual/a_share_annual_older_688152_2025-04-29.pdf
jpeg30,data/perturbed/jpeg30/a_share_annual_older_688152_2025-04-29_p160.jpg,a_share_annual_older_688152_2025-04-29,160,a_share_annual,older,2481,3508,8703348,479366,data/corpus/a_share_annual/a_share_annual_older_688152_2025-04-29.pdf
rot2,data/perturbed/rot2/a_share_annual_older_688152_2025-04-29_p160.png,a_share_annual_older_688152_2025-04-29,160,a_share_annual,older,2481,3508,8703348,1346557,data/corpus/a_share_annual/a_share_annual_older_688152_2025-04-29.pdf
photocopy,data/perturbed/photocopy/a_share_annual_older_688152_2025-04-29_p160.png,a_share_annual_older_688152_2025-04-29,160,a_share_annual,older,1241,1754,2176714,3990450,data/corpus/a_share_annual/a_share_annual_older_688152_2025-04-29.pdf
dpi150,data/perturbed/dpi150/a_share_annual_older_688152_2025-04-29_p243.png,a_share_annual_older_688152_2025-04-29,243,a_share_annual,older,1241,1754,2176714,313051,data/corpus/a_share_annual/a_share_annual_older_688152_2025-04-29.pdf
dpi100,data/perturbed/dpi100/a_share_annual_older_688152_2025-04-29_p243.png,a_share_annual_older_688152_2025-04-29,243,a_share_annual,older,827,1170,967590,187103,data/corpus/a_share_annual/a_share_annual_older_688152_2025-04-29.pdf
jpeg30,data/perturbed/jpeg30/a_share_annual_older_688152_2025-04-29_p243.jpg,a_share_annual_older_688152_2025-04-29,243,a_share_annual,older,2481,3508,8703348,472049,data/corpus/a_share_annual/a_share_annual_older_688152_2025-04-29.pdf
rot2,data/perturbed/rot2/a_share_annual_older_688152_2025-04-29_p243.png,a_share_annual_older_688152_2025-04-29,243,a_share_annual,older,2481,3508,8703348,1418000,data/corpus/a_share_annual/a_share_annual_older_688152_2025-04-29.pdf
photocopy,data/perturbed/photocopy/a_share_annual_older_688152_2025-04-29_p243.png,a_share_annual_older_688152_2025-04-29,243,a_share_annual,older,1241,1754,2176714,4012697,data/corpus/a_share_annual/a_share_annual_older_688152_2025-04-29.pdf
dpi150,data/perturbed/dpi150/a_share_interim_new_600337_2026-08-30_p46.png,a_share_interim_new_600337_2026-08-30,46,a_share_interim,new,1241,1754,2176714,317390,data/corpus/a_share_interim/a_share_interim_new_600337_2026-08-30.pdf
dpi100,data/perturbed/dpi100/a_share_interim_new_600337_2026-08-30_p46.png,a_share_interim_new_600337_2026-08-30,46,a_share_interim,new,827,1170,967590,181886,data/corpus/a_share_interim/a_share_interim_new_600337_2026-08-30.pdf
jpeg30,data/perturbed/jpeg30/a_share_interim_new_600337_2026-08-30_p46.jpg,a_share_interim_new_600337_2026-08-30,46,a_share_interim,new,2481,3508,8703348,485242,data/corpus/a_share_interim/a_share_interim_new_600337_2026-08-30.pdf
rot2,data/perturbed/rot2/a_share_interim_new_600337_2026-08-30_p46.png,a_share_interim_new_600337_2026-08-30,46,a_share_interim,new,2481,3508,8703348,1363753,data/corpus/a_share_interim/a_share_interim_new_600337_2026-08-30.pdf
photocopy,data/perturbed/photocopy/a_share_interim_new_600337_2026-08-30_p46.png,a_share_interim_new_600337_2026-08-30,46,a_share_interim,new,1241,1754,2176714,3994232,data/corpus/a_share_interim/a_share_interim_new_600337_2026-08-30.pdf
dpi150,data/perturbed/dpi150/a_share_interim_new_600337_2026-08-30_p48.png,a_share_interim_new_600337_2026-08-30,48,a_share_interim,new,1241,1754,2176714,282866,data/corpus/a_share_interim/a_share_interim_new_600337_2026-08-30.pdf
dpi100,data/perturbed/dpi100/a_share_interim_new_600337_2026-08-30_p48.png,a_share_interim_new_600337_2026-08-30,48,a_share_interim,new,827,1170,967590,163875,data/corpus/a_share_interim/a_share_interim_new_600337_2026-08-30.pdf
jpeg30,data/perturbed/jpeg30/a_share_interim_new_600337_2026-08-30_p48.jpg,a_share_interim_new_600337_2026-08-30,48,a_share_interim,new,2481,3508,8703348,464862,data/corpus/a_share_interim/a_share_interim_new_600337_2026-08-30.pdf
rot2,data/perturbed/rot2/a_share_interim_new_600337_2026-08-30_p48.png,a_share_interim_new_600337_2026-08-30,48,a_share_interim,new,2481,3508,8703348,1240365,data/corpus/a_share_interim/a_share_interim_new_600337_2026-08-30.pdf
photocopy,data/perturbed/photocopy/a_share_interim_new_600337_2026-08-30_p48.png,a_share_interim_new_600337_2026-08-30,48,a_share_interim,new,1241,1754,2176714,3962938,data/corpus/a_share_interim/a_share_interim_new_600337_2026-08-30.pdf
dpi150,data/perturbed/dpi150/a_share_interim_new_600809_2026-08-30_p25.png,a_share_interim_new_600809_2026-08-30,25,a_share_interim,new,1241,1754,2176714,300139,data/corpus/a_share_interim/a_share_interim_new_600809_2026-08-30.pdf
dpi100,data/perturbed/dpi100/a_share_interim_new_600809_2026-08-30_p25.png,a_share_interim_new_600809_2026-08-30,25,a_share_interim,new,827,1170,967590,180804,data/corpus/a_share_interim/a_share_interim_new_600809_2026-08-30.pdf
jpeg30,data/perturbed/jpeg30/a_share_interim_new_600809_2026-08-30_p25.jpg,a_share_interim_new_600809_2026-08-30,25,a_share_interim,new,2481,3508,8703348,505544,data/corpus/a_share_interim/a_share_interim_new_600809_2026-08-30.pdf
rot2,data/perturbed/rot2/a_share_interim_new_600809_2026-08-30_p25.png,a_share_interim_new_600809_2026-08-30,25,a_share_interim,new,2481,3508,8703348,1366266,data/corpus/a_share_interim/a_share_interim_new_600809_2026-08-30.pdf
photocopy,data/perturbed/photocopy/a_share_interim_new_600809_2026-08-30_p25.png,a_share_interim_new_600809_2026-08-30,25,a_share_interim,new,1241,1754,2176714,3998160,data/corpus/a_share_interim/a_share_interim_new_600809_2026-08-30.pdf
dpi150,data/perturbed/dpi150/a_share_interim_old_688515_2025-08-29_p178.png,a_share_interim_old_688515_2025-08-29,178,a_share_interim,old,1241,1754,2176714,268161,data/corpus/a_share_interim/a_share_interim_old_688515_2025-08-29.pdf
dpi100,data/perturbed/dpi100/a_share_interim_old_688515_2025-08-29_p178.png,a_share_interim_old_688515_2025-08-29,178,a_share_interim,old,827,1170,967590,162051,data/corpus/a_share_interim/a_share_interim_old_688515_2025-08-29.pdf
jpeg30,data/perturbed/jpeg30/a_share_interim_old_688515_2025-08-29_p178.jpg,a_share_interim_old_688515_2025-08-29,178,a_share_interim,old,2481,3508,8703348,429582,data/corpus/a_share_interim/a_share_interim_old_688515_2025-08-29.pdf
rot2,data/perturbed/rot2/a_share_interim_old_688515_2025-08-29_p178.png,a_share_interim_old_688515_2025-08-29,178,a_share_interim,old,2481,3508,8703348,1192431,data/corpus/a_share_interim/a_share_interim_old_688515_2025-08-29.pdf
photocopy,data/perturbed/photocopy/a_share_interim_old_688515_2025-08-29_p178.png,a_share_interim_old_688515_2025-08-29,178,a_share_interim,old,1241,1754,2176714,3955913,data/corpus/a_share_interim/a_share_interim_old_688515_2025-08-29.pdf
dpi150,data/perturbed/dpi150/a_share_interim_old_839680_2025-08-30_p9.png,a_share_interim_old_839680_2025-08-30,9,a_share_interim,old,1241,1755,2177955,351251,data/corpus/a_share_interim/a_share_interim_old_839680_2025-08-30.pdf
dpi100,data/perturbed/dpi100/a_share_interim_old_839680_2025-08-30_p9.png,a_share_interim_old_839680_2025-08-30,9,a_share_interim,old,827,1170,967590,208371,data/corpus/a_share_interim/a_share_interim_old_839680_2025-08-30.pdf
jpeg30,data/perturbed/jpeg30/a_share_interim_old_839680_2025-08-30_p9.jpg,a_share_interim_old_839680_2025-08-30,9,a_share_interim,old,2481,3509,8705829,461660,data/corpus/a_share_interim/a_share_interim_old_839680_2025-08-30.pdf
rot2,data/perturbed/rot2/a_share_interim_old_839680_2025-08-30_p9.png,a_share_interim_old_839680_2025-08-30,9,a_share_interim,old,2481,3509,8705829,1620406,data/corpus/a_share_interim/a_share_interim_old_839680_2025-08-30.pdf
photocopy,data/perturbed/photocopy/a_share_interim_old_839680_2025-08-30_p9.png,a_share_interim_old_839680_2025-08-30,9,a_share_interim,old,1241,1755,2177955,4045736,data/corpus/a_share_interim/a_share_interim_old_839680_2025-08-30.pdf
dpi150,data/perturbed/dpi150/a_share_interim_old_839680_2025-08-30_p10.png,a_share_interim_old_839680_2025-08-30,10,a_share_interim,old,1241,1755,2177955,276355,data/corpus/a_share_interim/a_share_interim_old_839680_2025-08-30.pdf
dpi100,data/perturbed/dpi100/a_share_interim_old_839680_2025-08-30_p10.png,a_share_interim_old_839680_2025-08-30,10,a_share_interim,old,827,1170,967590,167292,data/corpus/a_share_interim/a_share_interim_old_839680_2025-08-30.pdf
jpeg30,data/perturbed/jpeg30/a_share_interim_old_839680_2025-08-30_p10.jpg,a_share_interim_old_839680_2025-08-30,10,a_share_interim,old,2481,3509,8705829,389433,data/corpus/a_share_interim/a_share_interim_old_839680_2025-08-30.pdf
rot2,data/perturbed/rot2/a_share_interim_old_839680_2025-08-30_p10.png,a_share_interim_old_839680_2025-08-30,10,a_share_interim,old,2481,3509,8705829,1322150,data/corpus/a_share_interim/a_share_interim_old_839680_2025-08-30.pdf
photocopy,data/perturbed/photocopy/a_share_interim_old_839680_2025-08-30_p10.png,a_share_interim_old_839680_2025-08-30,10,a_share_interim,old,1241,1755,2177955,3954832,data/corpus/a_share_interim/a_share_interim_old_839680_2025-08-30.pdf
dpi150,data/perturbed/dpi150/a_share_notice_new_603390_2026-09-18_p4.png,a_share_notice_new_603390_2026-09-18,4,a_share_notice,new,1241,1754,2176714,322880,data/corpus/a_share_notice/a_share_notice_new_603390_2026-09-18.pdf
dpi100,data/perturbed/dpi100/a_share_notice_new_603390_2026-09-18_p4.png,a_share_notice_new_603390_2026-09-18,4,a_share_notice,new,827,1170,967590,205256,data/corpus/a_share_notice/a_share_notice_new_603390_2026-09-18.pdf
jpeg30,data/perturbed/jpeg30/a_share_notice_new_603390_2026-09-18_p4.jpg,a_share_notice_new_603390_2026-09-18,4,a_share_notice,new,2481,3508,8703348,366759,data/corpus/a_share_notice/a_share_notice_new_603390_2026-09-18.pdf
rot2,data/perturbed/rot2/a_share_notice_new_603390_2026-09-18_p4.png,a_share_notice_new_603390_2026-09-18,4,a_share_notice,new,2481,3508,8703348,1220554,data/corpus/a_share_notice/a_share_notice_new_603390_2026-09-18.pdf
photocopy,data/perturbed/photocopy/a_share_notice_new_603390_2026-09-18_p4.png,a_share_notice_new_603390_2026-09-18,4,a_share_notice,new,1241,1754,2176714,3960803,data/corpus/a_share_notice/a_share_notice_new_603390_2026-09-18.pdf
