pdf,page,variant,doc_id,orig_page
data/perturbed/dpi150/a_share_annual_old_002310_2026-04-30_p20.png,1,dpi150,a_share_annual_old_002310_2026-04-30,20
data/perturbed/dpi100/a_share_annual_old_002310_2026-04-30_p20.png,1,dpi100,a_share_annual_old_002310_2026-04-30,20
data/perturbed/jpeg30/a_share_annual_old_002310_2026-04-30_p20.jpg,1,jpeg30,a_share_annual_old_002310_2026-04-30,20
data/perturbed/rot2/a_share_annual_old_002310_2026-04-30_p20.png,1,rot2,a_share_annual_old_002310_2026-04-30,20
data/perturbed/photocopy/a_share_annual_old_002310_2026-04-30_p20.png,1,photocopy,a_share_annual_old_002310_2026-04-30,20
data/perturbed/dpi150/a_share_annual_old_002898_2026-04-30_p22.png,1,dpi150,a_share_annual_old_002898_2026-04-30,22
data/perturbed/dpi100/a_share_annual_old_002898_2026-04-30_p22.png,1,dpi100,a_share_annual_old_002898_2026-04-30,22
data/perturbed/jpeg30/a_share_annual_old_002898_2026-04-30_p22.jpg,1,jpeg30,a_share_annual_old_002898_2026-04-30,22
data/perturbed/rot2/a_share_annual_old_002898_2026-04-30_p22.png,1,rot2,a_share_annual_old_002898_2026-04-30,22
data/perturbed/photocopy/a_share_annual_old_002898_2026-04-30_p22.png,1,photocopy,a_share_annual_old_002898_2026-04-30,22
data/perturbed/dpi150/a_share_annual_older_300208_2025-04-30_p17.png,1,dpi150,a_share_annual_older_300208_2025-04-30,17
data/perturbed/dpi100/a_share_annual_older_300208_2025-04-30_p17.png,1,dpi100,a_share_annual_older_300208_2025-04-30,17
data/perturbed/jpeg30/a_share_annual_older_300208_2025-04-30_p17.jpg,1,jpeg30,a_share_annual_older_300208_2025-04-30,17
data/perturbed/rot2/a_share_annual_older_300208_2025-04-30_p17.png,1,rot2,a_share_annual_older_300208_2025-04-30,17
data/perturbed/photocopy/a_share_annual_older_300208_2025-04-30_p17.png,1,photocopy,a_share_annual_older_300208_2025-04-30,17
data/perturbed/dpi150/a_share_annual_older_300208_2025-04-30_p87.png,1,dpi150,a_share_annual_older_300208_2025-04-30,87
data/perturbed/dpi100/a_share_annual_older_300208_2025-04-30_p87.png,1,dpi100,a_share_annual_older_300208_2025-04-30,87
data/perturbed/jpeg30/a_share_annual_older_300208_2025-04-30_p87.jpg,1,jpeg30,a_share_annual_older_300208_2025-04-30,87
data/perturbed/rot2/a_share_annual_older_300208_2025-04-30_p87.png,1,rot2,a_share_annual_older_300208_2025-04-30,87
data/perturbed/photocopy/a_share_annual_older_300208_2025-04-30_p87.png,1,photocopy,a_share_annual_older_300208_2025-04-30,87
data/perturbed/dpi150/a_share_annual_older_688152_2025-04-29_p160.png,1,dpi150,a_share_annual_older_688152_2025-04-29,160
data/perturbed/dpi100/a_share_annual_older_688152_2025-04-29_p160.png,1,dpi100,a_share_annual_older_688152_2025-04-29,160
data/perturbed/jpeg30/a_share_annual_older_688152_2025-04-29_p160.jpg,1,jpeg30,a_share_annual_older_688152_2025-04-29,160
data/perturbed/rot2/a_share_annual_older_688152_2025-04-29_p160.png,1,rot2,a_share_annual_older_688152_2025-04-29,160
data/perturbed/photocopy/a_share_annual_older_688152_2025-04-29_p160.png,1,photocopy,a_share_annual_older_688152_2025-04-29,160
data/perturbed/dpi150/a_share_annual_older_688152_2025-04-29_p243.png,1,dpi150,a_share_annual_older_688152_2025-04-29,243
